Age,Gender,MaritalStatus,EducationLevel,EducationBackground,JobRole,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TotalWorkExperienceInYears,ExperienceYearsInCurrentRole,PerformanceResult
Young labor group,Male,Single,Below College,Medical,Laboratory Technician,High,Very High,Better,no exps,no exps,Meet Expectation
Main labor group,Female,Single,Master,Marketing,Sales Executive,Low,Low,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Master,Life Sciences,Laboratory Technician,Medium,Low,Better,Silver range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Laboratory Technician,High,High,Good,Copper range,Copper range,Meet Expectation
Main labor group,Female,Divorced,College,Medical,Healthcare Representative,High,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Research Scientist,Very High,High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Married,Below College,Life Sciences,Sales Executive,Medium,Low,Good,Silver range,Copper range,Needs Improvement
Main labor group,Male,Single,Master,Technical Degree,Human Resources,High,Medium,Bad,Silver range,Copper range,Needs Improvement
Main labor group,Female,Married,Below College,Life Sciences,Sales Executive,Very High,Low,Bad,Gold range,Silver range,Needs Improvement
Main labor group,Female,Single,Master,Medical,Research Director,Medium,High,Good,Gold range,Silver range,Needs Improvement
Middle-aged labor group,Male,Single,Bachelor,Life Sciences,Sales Executive,High,Medium,Good,Diamond range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,Master,Marketing,Sales Executive,Medium,Very High,Best,Silver range,Copper range,Exceed Expectation
Young labor group,Male,Single,Bachelor,Medical,Laboratory Technician,Very High,Very High,Better,Silver range,Copper range,Exceed Expectation
Main labor group,Female,Married,Below College,Life Sciences,Manager R&D,High,Very High,Good,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Medical,Manager R&D,Low,Medium,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,Bachelor,Marketing,Sales Executive,High,Low,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,College,Medical,Research Scientist,High,Very High,Bad,Gold range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Life Sciences,Manufacturing Director,High,Medium,Best,Gold range,Silver range,Meet Expectation
Main labor group,Male,Single,Bachelor,Medical,Healthcare Representative,Very High,High,Better,Gold range,Silver range,Outstanding
Main labor group,Male,Married,Master,Other,Laboratory Technician,Very High,Medium,Best,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Female,Single,Bachelor,Marketing,Sales Executive,Low,Medium,Good,Silver range,Copper range,Needs Improvement
Main labor group,Female,Divorced,Below College,Life Sciences,Sales Representative,High,High,Better,Copper range,no exps,Meet Expectation
Old labor group,Female,Divorced,Master,Technical Degree,Manager,Very High,Very High,Better,Diamond range,Copper range,Meet Expectation
Main labor group,Female,Married,Below College,Medical,Manager R&D,Medium,Low,Better,Silver range,Silver range,Meet Expectation
Young labor group,Male,Single,College,Life Sciences,Research Scientist,High,High,Better,Copper range,Copper range,Exceed Expectation
Middle-aged labor group,Female,Married,Bachelor,Medical,Manager R&D,Low,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Life Sciences,Manufacturing Director,Very High,Medium,Good,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,Master,Life Sciences,Manager R&D,High,High,Better,Silver range,Copper range,Meet Expectation
Old labor group,Female,Divorced,College,Medical,Manager R&D,Very High,Medium,Better,Diamond range,Silver range,Meet Expectation
Young labor group,Male,Married,Master,Life Sciences,Manager R&D,High,Medium,Better,Copper range,no exps,Meet Expectation
Middle-aged labor group,Female,Married,Bachelor,Marketing,Manager,High,Low,Better,Diamond range,Gold range,Exceed Expectation
Middle-aged labor group,Male,Single,Bachelor,Life Sciences,Research Scientist,Very High,Very High,Better,Silver range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Human Resources,Human Resources,Medium,Very High,Better,Copper range,Copper range,Needs Improvement
Main labor group,Male,Divorced,Master,Life Sciences,Sales Executive,High,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Medical,Sales Executive,Medium,Very High,Better,Copper range,no exps,Meet Expectation
Middle-aged labor group,Female,Married,Bachelor,Medical,Manager R&D,Very High,High,Better,Diamond range,Copper range,Exceed Expectation
Middle-aged labor group,Male,Married,College,Life Sciences,Manager R&D,Very High,Low,Better,Diamond range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Sales Executive,High,Very High,Better,Gold range,Silver range,Meet Expectation
Young labor group,Female,Married,College,Life Sciences,Laboratory Technician,Very High,Low,Bad,Copper range,no exps,Meet Expectation
Main labor group,Female,Married,Bachelor,Medical,Sales Executive,Medium,Low,Good,Silver range,Silver range,Meet Expectation
Main labor group,Male,Divorced,Master,Life Sciences,Laboratory Technician,High,High,Better,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,Master,Other,Research Scientist,Very High,Medium,Better,Gold range,Gold range,Exceed Expectation
Middle-aged labor group,Male,Married,Doctor,Medical,Human Resources,Very High,Low,Best,Silver range,Copper range,Exceed Expectation
Main labor group,Female,Married,Bachelor,Other,Laboratory Technician,High,High,Better,Copper range,Copper range,Exceed Expectation
Main labor group,Female,Single,College,Life Sciences,Manager R&D,Very High,Very High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Divorced,Bachelor,Technical Degree,Manufacturing Director,High,High,Better,Gold range,Silver range,Outstanding
Main labor group,Male,Married,Bachelor,Medical,Research Scientist,Low,Medium,Better,Gold range,Silver range,Needs Improvement
Main labor group,Male,Single,Master,Life Sciences,Sales Executive,High,Medium,Better,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,Doctor,Medical,Research Director,Low,High,Better,Gold range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Manager R&D,Low,Very High,Good,Silver range,Silver range,Needs Improvement
Old labor group,Female,Divorced,Master,Life Sciences,Manufacturing Director,Very High,Low,Bad,Diamond range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,Below College,Life Sciences,Manager R&D,Low,Very High,Better,Silver range,Copper range,Needs Improvement
Young labor group,Female,Single,Bachelor,Medical,Research Scientist,Low,Medium,Best,Copper range,Copper range,Exceed Expectation
Old labor group,Male,Married,Bachelor,Life Sciences,Research Director,Very High,Low,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Married,College,Medical,Manager R&D,High,Very High,Good,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Life Sciences,Research Director,High,Medium,Better,Diamond range,Silver range,Meet Expectation
Middle-aged labor group,Male,Married,College,Medical,Manager R&D,Low,High,Best,Diamond range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Technical Degree,Research Scientist,High,High,Good,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,College,Technical Degree,Laboratory Technician,Very High,High,Good,Silver range,no exps,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Life Sciences,Manager R&D,High,Medium,Better,Silver range,no exps,Meet Expectation
Middle-aged labor group,Male,Single,Bachelor,Life Sciences,Research Director,Very High,High,Best,Diamond range,no exps,Exceed Expectation
Main labor group,Female,Divorced,Bachelor,Life Sciences,Research Director,Very High,Medium,Good,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Marketing,Manager,Medium,High,Better,Diamond range,Silver range,Needs Improvement
Young labor group,Male,Married,College,Life Sciences,Research Scientist,Very High,Very High,Better,Copper range,no exps,Exceed Expectation
Main labor group,Male,Single,College,Life Sciences,Research Scientist,High,Medium,Good,Silver range,Copper range,Exceed Expectation
Middle-aged labor group,Female,Single,Bachelor,Marketing,Manager,Low,Low,Better,Diamond range,Silver range,Needs Improvement
Old labor group,Male,Divorced,Below College,Medical,Healthcare Representative,Very High,Very High,Better,Diamond range,Silver range,Meet Expectation
Young labor group,Female,Single,College,Life Sciences,Laboratory Technician,Low,High,Bad,Copper range,Copper range,Needs Improvement
Middle-aged labor group,Female,Married,College,Marketing,Manager,Very High,High,Better,Diamond range,Copper range,Meet Expectation
Main labor group,Female,Single,Bachelor,Marketing,Sales Executive,High,Very High,Better,Copper range,Copper range,Meet Expectation
Old labor group,Male,Divorced,Bachelor,Life Sciences,Manager,Very High,Low,Good,Diamond range,Silver range,Exceed Expectation
Old labor group,Male,Single,Master,Medical,Manager R&D,Very High,Very High,Good,Diamond range,Silver range,Meet Expectation
Main labor group,Female,Divorced,Bachelor,Medical,Laboratory Technician,High,High,Best,Gold range,Silver range,Meet Expectation
Main labor group,Male,Single,Master,Medical,Laboratory Technician,Very High,High,Good,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Male,Divorced,College,Life Sciences,Manager R&D,High,Very High,Good,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Human Resources,High,Very High,Best,Gold range,Silver range,Meet Expectation
Main labor group,Male,Married,Below College,Life Sciences,Research Scientist,High,Very High,Better,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,Master,Medical,Research Scientist,Medium,Very High,Better,Gold range,no exps,Meet Expectation
Middle-aged labor group,Female,Single,Master,Marketing,Sales Executive,Very High,Very High,Best,Diamond range,Silver range,Meet Expectation
Main labor group,Female,Single,Master,Life Sciences,Manufacturing Director,High,Very High,Better,Gold range,Gold range,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Laboratory Technician,Very High,Medium,Better,Copper range,Copper range,Meet Expectation
Old labor group,Female,Single,College,Medical,Laboratory Technician,Medium,Medium,Good,Silver range,no exps,Meet Expectation
Main labor group,Female,Single,College,Medical,Manufacturing Director,High,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Bachelor,Technical Degree,Laboratory Technician,Medium,Low,Better,Silver range,Silver range,Needs Improvement
Main labor group,Male,Single,Bachelor,Technical Degree,Research Scientist,Very High,Medium,Good,Copper range,Copper range,Meet Expectation
Main labor group,Female,Single,Bachelor,Medical,Research Scientist,Very High,Very High,Good,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Sales Executive,High,High,Best,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Female,Single,Bachelor,Medical,Manager,Medium,High,Better,Diamond range,no exps,Exceed Expectation
Main labor group,Female,Divorced,Master,Medical,Manager,High,Very High,Better,Diamond range,Silver range,Meet Expectation
Old labor group,Male,Divorced,Master,Life Sciences,Research Scientist,Low,Very High,Better,Copper range,Copper range,Needs Improvement
Main labor group,Male,Married,College,Life Sciences,Manager R&D,Very High,Low,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Master,Technical Degree,Healthcare Representative,Very High,Low,Better,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Female,Single,College,Life Sciences,Human Resources,Very High,High,Best,Silver range,Silver range,Meet Expectation
Main labor group,Female,Married,Bachelor,Life Sciences,Manager R&D,High,Low,Better,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Female,Married,Bachelor,Life Sciences,Manager R&D,Very High,Medium,Better,Diamond range,Copper range,Meet Expectation
Main labor group,Male,Single,Master,Marketing,Sales Executive,Very High,High,Better,Silver range,Copper range,Meet Expectation
Old labor group,Male,Single,Bachelor,Life Sciences,Sales Executive,Medium,High,Good,Silver range,Silver range,Needs Improvement
Main labor group,Female,Divorced,Master,Life Sciences,Sales Executive,Very High,Low,Good,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,College,Medical,Sales Executive,High,Low,Better,Gold range,Copper range,Meet Expectation
Old labor group,Female,Married,College,Medical,Manager,Very High,Very High,Better,Diamond range,Silver range,Meet Expectation
Old labor group,Male,Single,Master,Life Sciences,Manager,Very High,Low,Better,Diamond range,Copper range,Meet Expectation
Main labor group,Male,Divorced,College,Life Sciences,Research Scientist,High,Medium,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Life Sciences,Healthcare Representative,Very High,Very High,Good,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Female,Divorced,Bachelor,Marketing,Sales Executive,High,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Master,Life Sciences,Research Scientist,High,Medium,Better,Silver range,Silver range,Meet Expectation
Old labor group,Male,Divorced,Bachelor,Life Sciences,Manager,High,Medium,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Female,Divorced,College,Life Sciences,Sales Executive,Medium,Very High,Better,Gold range,Silver range,Needs Improvement
Main labor group,Female,Single,College,Medical,Sales Executive,High,Very High,Best,Silver range,Silver range,Meet Expectation
Main labor group,Male,Married,Below College,Medical,Laboratory Technician,Very High,High,Good,Silver range,Copper range,Meet Expectation
Old labor group,Female,Married,Master,Medical,Manufacturing Director,High,Very High,Good,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Laboratory Technician,Medium,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Marketing,Sales Executive,Low,Very High,Good,Gold range,Silver range,Needs Improvement
Middle-aged labor group,Male,Single,Bachelor,Life Sciences,Manufacturing Director,Very High,High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Female,Married,Bachelor,Medical,Sales Representative,High,Medium,Better,Copper range,no exps,Meet Expectation
Old labor group,Female,Single,College,Technical Degree,Manager R&D,Very High,Medium,Good,Diamond range,Copper range,Meet Expectation
Young labor group,Female,Single,Bachelor,Life Sciences,Manager R&D,Very High,High,Best,no exps,no exps,Exceed Expectation
Main labor group,Female,Married,Bachelor,Medical,Laboratory Technician,Very High,Medium,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Single,Below College,Life Sciences,Sales Executive,Very High,Medium,Better,Silver range,Copper range,Exceed Expectation
Old labor group,Male,Single,Master,Marketing,Sales Executive,Low,High,Good,Diamond range,Silver range,Needs Improvement
Old labor group,Male,Married,Bachelor,Life Sciences,Manager R&D,Very High,Low,Better,Diamond range,Gold range,Meet Expectation
Main labor group,Female,Divorced,Below College,Technical Degree,Research Scientist,Low,High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Below College,Medical,Manager R&D,Medium,Medium,Better,Gold range,Gold range,Needs Improvement
Main labor group,Male,Married,Bachelor,Medical,Laboratory Technician,Medium,Low,Better,Silver range,Silver range,Needs Improvement
Main labor group,Female,Single,Bachelor,Life Sciences,Sales Representative,High,High,Best,Copper range,no exps,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Life Sciences,Research Scientist,Very High,Very High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Single,Master,Technical Degree,Healthcare Representative,High,Very High,Best,Gold range,Gold range,Meet Expectation
Main labor group,Male,Married,Bachelor,Life Sciences,Sales Executive,High,High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Sales Executive,Low,Very High,Best,Silver range,Copper range,Needs Improvement
Old labor group,Male,Married,Bachelor,Marketing,Sales Executive,Medium,Medium,Better,Gold range,Copper range,Needs Improvement
Middle-aged labor group,Female,Divorced,Bachelor,Life Sciences,Manager R&D,Very High,Low,Good,Gold range,Copper range,Meet Expectation
Main labor group,Male,Married,Below College,Life Sciences,Sales Executive,Medium,Low,Best,Silver range,Copper range,Needs Improvement
Main labor group,Male,Married,Below College,Marketing,Sales Executive,High,Low,Good,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,College,Life Sciences,Manager R&D,High,Medium,Better,Gold range,Copper range,Exceed Expectation
Main labor group,Male,Married,Below College,Life Sciences,Sales Executive,Low,Medium,Good,Silver range,Copper range,Needs Improvement
Old labor group,Female,Married,College,Medical,Manufacturing Director,Very High,Medium,Good,Diamond range,Copper range,Meet Expectation
Middle-aged labor group,Female,Single,Bachelor,Medical,Research Scientist,Low,Low,Bad,Gold range,Silver range,Needs Improvement
Main labor group,Female,Married,Bachelor,Marketing,Sales Executive,Very High,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Single,Master,Life Sciences,Research Scientist,Very High,Very High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Below College,Medical,Research Scientist,Low,Very High,Better,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,Bachelor,Human Resources,Manager,High,High,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Female,Single,Bachelor,Medical,Manager R&D,Low,Low,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,College,Life Sciences,Manufacturing Director,High,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Technical Degree,Laboratory Technician,Low,Medium,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Bachelor,Other,Human Resources,Medium,Low,Good,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,College,Life Sciences,Manager R&D,Low,Low,Better,Gold range,Copper range,Meet Expectation
Old labor group,Female,Single,Bachelor,Medical,Research Director,Very High,Very High,Good,Diamond range,Silver range,Meet Expectation
Old labor group,Female,Married,Bachelor,Medical,Manager R&D,Very High,High,Better,Diamond range,Silver range,Exceed Expectation
Main labor group,Female,Single,Master,Marketing,Sales Executive,Low,Very High,Better,Gold range,Copper range,Meet Expectation
Main labor group,Female,Single,Master,Life Sciences,Sales Representative,Medium,Medium,Better,Copper range,no exps,Meet Expectation
Main labor group,Female,Divorced,Master,Marketing,Sales Executive,Very High,Medium,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Single,Doctor,Life Sciences,Research Director,Low,High,Best,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Master,Other,Research Scientist,Very High,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Single,Bachelor,Life Sciences,Research Scientist,Low,High,Best,Copper range,no exps,Meet Expectation
Main labor group,Male,Married,Below College,Life Sciences,Manager R&D,Medium,Medium,Best,Silver range,no exps,Meet Expectation
Main labor group,Male,Single,Master,Life Sciences,Laboratory Technician,Low,High,Good,Silver range,Copper range,Needs Improvement
Middle-aged labor group,Male,Married,Bachelor,Technical Degree,Research Scientist,Low,High,Good,Gold range,Copper range,Needs Improvement
Main labor group,Male,Married,College,Life Sciences,Sales Representative,Low,Low,Better,Silver range,Copper range,Needs Improvement
Main labor group,Male,Single,College,Technical Degree,Manager R&D,High,Low,Bad,Silver range,Copper range,Meet Expectation
Old labor group,Female,Married,College,Life Sciences,Manager R&D,Low,Very High,Best,Copper range,Copper range,Outstanding
Young labor group,Female,Married,Below College,Medical,Sales Executive,Very High,High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Married,Bachelor,Life Sciences,Laboratory Technician,Very High,Low,Good,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Doctor,Medical,Manager R&D,Medium,Low,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Divorced,Master,Other,Laboratory Technician,High,High,Best,Gold range,Silver range,Meet Expectation
Main labor group,Male,Divorced,College,Life Sciences,Sales Executive,Low,Low,Better,Gold range,Silver range,Needs Improvement
Main labor group,Female,Single,Bachelor,Life Sciences,Laboratory Technician,Low,Medium,Best,Gold range,no exps,Exceed Expectation
Main labor group,Female,Single,Doctor,Life Sciences,Manager R&D,High,Low,Better,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Male,Divorced,Bachelor,Medical,Manager R&D,Medium,Medium,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Female,Single,College,Medical,Human Resources,Very High,Very High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Technical Degree,Manager R&D,Medium,Very High,Best,Silver range,Copper range,Meet Expectation
Main labor group,Female,Married,Master,Technical Degree,Human Resources,Low,Very High,Better,Copper range,Copper range,Needs Improvement
Main labor group,Male,Divorced,Below College,Medical,Research Director,Very High,High,Better,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,Bachelor,Life Sciences,Laboratory Technician,High,Very High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Master,Technical Degree,Manager R&D,Low,Medium,Good,Gold range,Copper range,Needs Improvement
Main labor group,Male,Divorced,Bachelor,Medical,Research Scientist,High,High,Best,Silver range,Copper range,Exceed Expectation
Middle-aged labor group,Male,Single,Bachelor,Life Sciences,Manager R&D,Very High,High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Sales Executive,Very High,Low,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Single,Bachelor,Other,Sales Executive,Very High,Very High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Married,Below College,Life Sciences,Sales Executive,Very High,High,Good,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Female,Single,College,Medical,Laboratory Technician,Low,High,Better,Gold range,Silver range,Needs Improvement
Middle-aged labor group,Female,Married,Doctor,Marketing,Sales Executive,Low,High,Good,Gold range,no exps,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Technical Degree,Research Scientist,High,Medium,Good,Copper range,no exps,Meet Expectation
Old labor group,Male,Married,College,Life Sciences,Research Scientist,Medium,Low,Good,Gold range,Silver range,Needs Improvement
Middle-aged labor group,Male,Divorced,Master,Life Sciences,Manager R&D,High,Medium,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Medical,Research Director,Medium,Very High,Good,Gold range,Silver range,Needs Improvement
Main labor group,Male,Married,Bachelor,Technical Degree,Sales Representative,Low,Very High,Best,Copper range,Copper range,Needs Improvement
Main labor group,Female,Single,Master,Medical,Sales Executive,Low,High,Best,Gold range,Silver range,Needs Improvement
Main labor group,Male,Married,Below College,Life Sciences,Sales Representative,Very High,Low,Better,Copper range,no exps,Meet Expectation
Young labor group,Female,Married,College,Life Sciences,Sales Representative,Very High,High,Better,Copper range,no exps,Meet Expectation
Middle-aged labor group,Male,Single,Below College,Medical,Manager R&D,Medium,Medium,Good,Gold range,Copper range,Needs Improvement
Main labor group,Male,Divorced,Bachelor,Life Sciences,Sales Executive,High,High,Better,Silver range,Silver range,Meet Expectation
Old labor group,Male,Married,Master,Life Sciences,Manager R&D,Very High,Medium,Better,Copper range,Copper range,Meet Expectation
Main labor group,Female,Married,Master,Medical,Manager R&D,Low,Very High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,Bachelor,Medical,Sales Executive,High,High,Good,Gold range,Copper range,Meet Expectation
Main labor group,Male,Single,College,Medical,Laboratory Technician,High,High,Good,Silver range,no exps,Meet Expectation
Main labor group,Male,Divorced,Bachelor,Life Sciences,Manager R&D,Low,Very High,Bad,Copper range,no exps,Meet Expectation
Main labor group,Male,Single,Bachelor,Life Sciences,Sales Executive,High,Very High,Better,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,College,Medical,Laboratory Technician,High,Low,Better,Silver range,Copper range,Exceed Expectation
Main labor group,Female,Married,Below College,Life Sciences,Laboratory Technician,Very High,High,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Married,Below College,Life Sciences,Manager R&D,High,Medium,Good,Silver range,Silver range,Meet Expectation
Main labor group,Male,Single,Doctor,Life Sciences,Healthcare Representative,Very High,Low,Better,Gold range,no exps,Meet Expectation
Main labor group,Male,Single,Bachelor,Medical,Manager,High,Medium,Best,Silver range,Copper range,Meet Expectation
Old labor group,Female,Divorced,Master,Medical,Manager R&D,Medium,Low,Better,Diamond range,Silver range,Needs Improvement
Main labor group,Male,Single,Master,Technical Degree,Research Scientist,Low,High,Bad,Gold range,Silver range,Meet Expectation
Middle-aged labor group,Female,Married,Bachelor,Life Sciences,Manager,High,Very High,Best,Diamond range,Gold range,Meet Expectation
Main labor group,Female,Single,Bachelor,Life Sciences,Manager R&D,Very High,Very High,Bad,Gold range,Silver range,Meet Expectation
Young labor group,Male,Single,Below College,Life Sciences,Laboratory Technician,Low,Medium,Better,Copper range,Copper range,Needs Improvement
Main labor group,Male,Single,Master,Life Sciences,Laboratory Technician,Very High,Medium,Bad,Gold range,Copper range,Meet Expectation
Main labor group,Male,Married,Bachelor,Technical Degree,Sales Executive,Very High,Very High,Better,Silver range,Silver range,Meet Expectation
Middle-aged labor group,Male,Single,Doctor,Medical,Research Director,High,Very High,Better,Diamond range,Silver range,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Medical,Manager R&D,High,Medium,Better,Copper range,no exps,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Research Scientist,Low,Low,Better,Silver range,Silver range,Needs Improvement
Main labor group,Female,Married,Below College,Other,Healthcare Representative,High,High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Male,Single,Bachelor,Life Sciences,Manufacturing Director,Very High,Very High,Better,Copper range,Copper range,Meet Expectation
Middle-aged labor group,Male,Married,Bachelor,Technical Degree,Research Scientist,Very High,Very High,Better,Silver range,Copper range,Exceed Expectation
Middle-aged labor group,Male,Married,Bachelor,Life Sciences,Healthcare Representative,Very High,High,Bad,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Married,College,Medical,Sales Executive,Low,Very High,Best,Silver range,Copper range,Needs Improvement
Main labor group,Male,Married,Master,Life Sciences,Laboratory Technician,Medium,Medium,Better,Gold range,Gold range,Needs Improvement
Main labor group,Male,Single,College,Medical,Manager,High,Very High,Better,Diamond range,Silver range,Exceed Expectation
Young labor group,Male,Divorced,College,Technical Degree,Laboratory Technician,High,Medium,Better,Copper range,Copper range,Meet Expectation
Main labor group,Male,Divorced,College,Life Sciences,Manager R&D,Very High,High,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Male,Divorced,Master,Technical Degree,Healthcare Representative,Low,Low,Better,Silver range,Silver range,Needs Improvement
Main labor group,Female,Married,Master,Life Sciences,Sales Representative,Medium,Low,Better,Silver range,Copper range,Needs Improvement
Main labor group,Male,Single,Master,Life Sciences,Sales Representative,High,Very High,Good,Silver range,Copper range,Exceed Expectation
Middle-aged labor group,Female,Divorced,Master,Life Sciences,Sales Executive,High,High,Better,Gold range,Silver range,Meet Expectation
Main labor group,Male,Married,Master,Life Sciences,Sales Executive,Low,Very High,Bad,Silver range,Copper range,Needs Improvement
Main labor group,Male,Married,Bachelor,Life Sciences,Sales Executive,Medium,Very High,Better,Silver range,Silver range,Needs Improvement
Main labor group,Male,Married,Master,Human Resources,Human Resources,High,High,Better,Silver range,Copper range,Meet Expectation
Main labor group,Male,Married,Master,Technical Degree,Sales Executive,High,Medium,Better,Silver range,Copper range,Meet Expectation
Main labor group,Female,Divorced,Bachelor,Life Sciences,Laboratory Technician,Low,Very High,Better,Copper range,no exps,Meet Expectation
Old labor group,Female,Married,Doctor,Technical Degree,Manufacturing Director,High,Medium,Better,Diamond range,Silver range,Meet Expectation
Main labor group,Male,Married,Bachelor,Medical,Manufacturing Director,High,Low,Better,Silver range,Copper range,Meet Expectation
Middle-aged labor group,Female,Married,Master,Other,Manager R&D,High,Very High,Good,Silver range,Copper range,Meet Expectation
Main labor group,Male,Single,Master,Medical,Research Scientist,Low,High,Bad,Copper range,no exps,Meet Expectation
Old labor group,Male,Married,Doctor,Marketing,Manager,High,High,Better,Diamond range,Silver range,Exceed Expectation
Main labor group,Male,Married,Master,Life Sciences,Manager R&D,Medium,Medium,Good,Silver range,Copper range,Needs Improvement
Main labor group,Male,Married,Bachelor,Life Sciences,Sales Executive,High,Very High,Better,Silver range,Silver range,Meet Expectation
Main labor group,Female,Single,Master,Life Sciences,Sales Executive,Medium,Low,Better,Gold range,no exps,Meet Expectation
Main labor group,Male,Single,Below College,Medical,Manager R&D,Medium,Very High,Better,Silver range,Silver range,Needs Improvement
Main labor group,Female,Single,Master,Medical,Healthcare Representative,Low,High,Better,Silver range,Copper range,Meet Expectation
